paper_id,title,first_author,authors,norm_title,norm_first_author
98abc1cb906942028f3be92d6c275715,Fragile Financing? How Corporate Reliance on Shadow Banking Affects Their Access to Bank Liquidity,Viral V. Acharya,Viral V. Acharya; Viral V. Acharya; Manasa Gopal; Sascha Steffen,fragile financing how corporate reliance on shadow banking affects their access to bank liquidity,viral acharya
f887735fd7e9cdf905b75d3086c337d9,"Shareholderism around the World: Corporate Purpose, Culture, and Law",Renee B. Adams,Renee B. Adams; Amir N. Licht,shareholderism around the world  corporate   purpose culture and law,renee adams
6b28ad2d0621eaf18bcba8c60be50266,The Singular Role of Public Pension Funds in  < Corporate <  Governance,Jill E. Fisch,Jill E. Fisch; Jeff Schwartz,the singular role of public pension funds in   corporate   governance,jill fisch
d3bbbf2a37f1b70429420547ef7382b6,"""JUSTICE OF OUR OWN"" DEFINING SUCCESS AT THE RED HOOK COMMUNITY JUSTICE CENTER",Hadar Dancig-Rosenberg,Hadar Dancig-Rosenberg; Hadar Dancig-Rosenberg; Peter Dixon; Corporate,justice of our own defining success at the red hook community justice center,hadar dancig-rosenberg
4e8d8f91fafa401dd3565d6d71c00848,A Theory of Transition Relief,Hanoch Dagan,Hanoch Dagan; Jonathan Gould; Directors,a theory of transition relief,hanoch dagan
4443b1606b77f0eb17e5cae766dc6964,A concave relation between equity-based incentives and misreporting,Jae Hwan Ahn,Jae Hwan Ahn; Syed Zulfiqar Ali Shah; Gitae Park,a concave relation between equitybased incentives and misreporting,jae ahn
7bc61555c711c0bfa84ffb654d096e04,Copyrighting Nature,Cathay Smith,Cathay Smith,copyrighting nature,cathay smith
cc9d581442aa2a95595daccea22626d8,Implementing and Enforcing the EU's Digital Gatekeeper Regulation: A German Perspective on the Role of National Authorities,Jens-Uwe Franck,Jens-Uwe Franck,implementing and enforcing the eus digital gatekeeper regulation a german perspective on the role of national authorities,jens-uwe franck
6baca2d4ac3830d89fba5a4a804f8114,Liability and Fault in Reasonableness and Risk,Sandy Steel,Sandy Steel,liability and fault in reasonableness and risk,sandy steel
ea52e1d531a947454c5da98fe9106465,Managers' Financial Reporting Incentives,David Burgstahler,David Burgstahler; Elizabeth Chuk,managers financial reporting incentives,david burgstahler
9db431d0cb1561e824e81302a3d53b21,REFORM'S OVERSIGHT: THE LIMITS OF YOUTH RESTITUTION,Stephanie Campos-Bui,Stephanie Campos-Bui,reforms oversight the limits of youth restitution,stephanie campos-bui
091737370800e94f183b25f74e02492d,Statutory Liability for Sustainability Reporting: Analysis and Observations,Pamela F Hanrahan,Pamela F Hanrahan,statutory liability for sustainability reporting analysis and observations,pamela hanrahan
7b5e7d1c4bfb6595ea6af0861248d3f4,Taking Homes,Gerald S. Dickinson,Gerald S. Dickinson,taking homes,gerald dickinson
12bc71ea12ffb617c94222ece325faef,Tariffs as a Hidden Tax: Price Pass-Through in Multi-Stage Supply Chains,Maqbool Dada,Maqbool Dada; Tinglong Dai; Yunxiang Sun; Mariana Socal,tariffs as a hidden tax price passthrough in multistage supply chains,maqbool dada
4d76a797452d4a46f6d5056aa81573ab,The Republic of Serbia’s approach to legal remedies for the protection of the right to equality at work,Ljubinka Kovacevic,Ljubinka Kovacevic,the republic of serbias approach to legal remedies for the protection of the right to equality at work,ljubinka kovacevic
d2d3d1f8e9288a5b7ce05161d29632bf,The Singular Role of Public Pension Funds in Corporate Governance,,,the singular role of public pension funds in corporate governance,
6ab6343ac0e6634239af4fafe3eb7398,Trading Acres,Jessica A. Shoemaker,Jessica A. Shoemaker; James Fallows Tierney; Compensation,trading acres,jessica shoemaker
fe3e784eeaa1267e3c26c68429285b87,Understanding Electoral Bonds: A Constitutional Analysis of Anonymous Political Funding  < (Case of Association for Democratic Reforms & Anr. Vs. Union of India & Anr. Vs. Union of India & Ors.),Partap Singh,Partap Singh; Parth Singh; Manav Sharma,understanding electoral bonds a constitutional analysis of anonymous political funding   case of association for democratic reforms  anr vs union of india  anr vs union of india  ors,partap singh
bea18bcfcb75ab9d2ac3078134a06cbb,When Boards Fail: How Dysfunctional Governance Exposes Directors to Liability and Reputational Harm,Ben Chester Cheong,Ben Chester Cheong; Merger,when boards fail how dysfunctional governance exposes directors to liability and reputational harm,ben cheong
5d3fcfbb334b271793bd65fa73d32d11,,Hilary Till,Hilary Till,,hilary till
1db15e327b26c4823a6985be59e32c69,,Adel Necib,Adel Necib,,adel necib
57f4f04de9759e1665f5d9a9b2c129a5,A Playbook for Unplanned CEO Transitions,,,a playbook for unplanned ceo transitions,
45ea79b02857339c62508bc47ebc7946,A Framework for Time-stamping Battery Charging and Pricing Structure to Enable Equitable and Efficient Dispatch for Microgrids in Demand-side Management Environment,Mrityunjay Kumar Mishra,Mrityunjay Kumar Mishra; Ameena Saad Al-Sumaiti; Hatem Zeineldin; Ehab El-Saadany,a framework for timestamping battery charging and pricing structure to enable equitable and efficient dispatch for microgrids in demandside management environment,mrityunjay mishra
566c160177bc01ec5fb2ad0943f68085,A Schelling-point Trigger for Smart Restructuring Tokens,Michael Schillig,Michael Schillig,a schellingpoint trigger for smart restructuring tokens,michael schillig
49425ca64ce20b5cbe499f2b3a79c141,A Qualitative Perspective on AI-Driven Risk Management in Sustainable Supply Chains,Paul Garcia,Paul Garcia,a qualitative perspective on aidriven risk management in sustainable supply chains,paul garcia
7cedb4adc082888a769d2b1af95e2620,A Systematic Literature Review of the Financial Impact of Business Ethics Operations in Companies in Europe With a Specific Focus on Alterocentrism,Burkard Schemmel,Burkard Schemmel; Karsten Bredemeier; Michael Neubert,a systematic literature review of the financial impact of business ethics operations in companies in europe with a specific focus on alterocentrism,burkard schemmel
