paper_id,title,first_author,authors,journal,affiliations,norm_title,norm_first_author,status,date_added,date_updated
9839ca0a0ef9011ed49cfc2489ffde87,"Shareholderism around the World: Corporate Purpose, Culture, and Law",Renee B. Adams,Renee B. Adams; Amir N. Licht; Merger,,University of Oxford and Reichman University; Stakeholder,shareholderism around the world corporate purpose culture and law,renee adams,solicited,2025-07-11T14:44:52.994465,2025-07-11T14:44:52.994465
bd379801ef795ae6a1ed90b6d32c5df3,"The People Have Spoken: The Tech Industry, Civil Society, and the U.S. Artificial Intelligence Action Plan",Paulo Carvao,Paulo Carvao; Shaurya Jeloka; Mizuki Yashiro,,"Harvard University - Harvard Kennedy School (HKS), Harvard University, Harvard College and Harvard University",the people have spoken the tech industry civil society and the us artificial intelligence action plan,paulo carvao,optioned,2025-07-11T14:44:52.988362,2025-07-11T14:44:52.988362
7c551323822301c022710ed02a90955f,With a Grain of Salt: Investor Reactions to Uncertain News and (Non)Disclosure *,Jonathan Libgober,Jonathan Libgober; Beatrice Michaeli; Elyashiv Wiedman,,"University of Southern California, University of California, Los Angeles (UCLA) and Hebrew University of Jerusalem - Jerusalem School of Business Administration",with a grain of salt investor reactions to uncertain news and nondisclosure,jonathan libgober,optioned,2025-07-11T14:44:52.988362,2025-07-11T14:44:52.988362
ce507e57e82eb873d80e18dd1e608b2e,Hunting for Goodwill in de-SPAC Transactions,Al (Aloke) Ghosh,Al (Aloke) Ghosh; Brian Burnett,,UNC Charlotte and The University of North Carolina at Charlotte,hunting for goodwill in despac transactions,al ghosh,optioned,2025-07-11T14:44:52.988362,2025-07-11T14:44:52.988362
4c5c6752c626ceda3cccb6cbb35ae383,ESG LITIGATION AND THE POLITICAL ECONOMY OF  < CORPORATE <  GOVERNANCE,Aisha Saad,Aisha Saad,,Georgetown University Law Center,esg litigation and the political economy of   corporate   governance,aisha saad,optioned,2025-07-11T14:44:52.988029,2025-07-11T14:44:52.988029
7a218f9430b3be6e1c27c04728bc8917,The War on the SEC is Different,Joel Seligman,Joel Seligman,,Washington University in St. Louis - School of Law,the war on the sec is different,joel seligman,optioned,2025-07-11T14:44:52.988029,2025-07-11T14:44:52.988029
bea38103f9e184e8817be2bd07a34e56,Corporate <  Actions as Moral Issues,Zwetelina Iliewa,Zwetelina Iliewa; Elisabeth Kempf; Oliver G. Spalt,,"University of Bonn - Department of Economics, Harvard University - Business School (HBS) and University of Mannheim - Business School",corporate   actions as moral issues,zwetelina iliewa,optioned,2025-07-11T14:44:52.988029,2025-07-11T14:44:52.988029
5c4a44d8f78e079775a15018ee43346a,Asset Manager Commonality and Portfolio Similarity,Ali K. Ozdagli,Ali K. Ozdagli; Dylan Ryfe,,Federal Reserve Banks - Federal Reserve Bank of Dallas and Federal Reserve Banks - Federal Reserve Bank of Dallas,asset manager commonality and portfolio similarity,ali ozdagli,optioned,2025-07-11T14:44:52.988029,2025-07-11T14:44:52.988029
55fdc29294d7174e4675082151cd04f0,The Rise of Global FCPA Settlements,Rachel Brewster,Rachel Brewster,Texas Law Review (forthcoming 2025/26),Duke University School of Law,the rise of global fcpa settlements,rachel brewster,optioned,2025-07-11T14:44:52.988015,2025-07-11T14:44:52.988015
f887735fd7e9cdf905b75d3086c337d9,"Shareholderism around the World: Corporate Purpose, Culture, and Law",Renee B. Adams,Renee B. Adams; Amir N. Licht,,,shareholderism around the world corporate purpose culture and law,renee adams,declined,2025-07-11T14:44:52.978175,2025-07-11T14:44:52.978175
46c4586c1db8def96e83480a8022cf8a,Pardoning Corporations,Brandon Stras,Brandon Stras,"Forthcoming, University of Chicago Law Review, Volume 92",University of Chicago Law School,pardoning corporations,brandon stras,optioned,2025-07-11T14:44:52.978175,2025-07-11T14:44:52.978175
