Full Name
Alp Simsek
Amir Sufi
Amit Seru
Iman Anabtawi
Anita Anand
Andrei Shleifer
Andrew Metrick
Anil Kashyap
Annelise Riles
Antoinette Schoar
Jennifer Arlen
John Armour
Atif Mian
Kenneth M. Ayotte
Stephen M. Bainbridge
Douglas G. Baird
Steven A. Bank
Michael S. Barr
Robert P. Bartlett III
Michal Barzuza
Omri Ben-Shahar
Bengt Holmstrom
Laura Nyantung Beny
Lisa Bernstein
Barbara Black
Bernard Black
Margaret Blair
William W. Bratton
Brian Bushee
J. Robert Brown Jr.
Ryan Bubb
C. Foley
Campbell Harvey
Carola Frydman
Anthony J. Casey
Emiliano Catan
Brian Cheffins
Albert Choi
Stephen Choi
Christian Leuz
Stijn Claessens
Robert C. Clark
John Coates
Coffee John
Alma Cohen
Lauren Cohen
Pierre-Henri Conac
James D. Cox
Lawrence A. Cunningham
Quinn Curtis
Robert M. Daines
Jens C. Dammann
Daniel Wolfenzon
Daron Acemoglu
David Larcker
David Matsa
David Scharfstein
David Sraer
David Yermack
Steven Davidoff
Paul Davies
Alicia J. Davis
Elisabeth D. de Fontenay
Simon Deakin
Deborah A. DeMott
Dhammika Dharmapala
Dirk Jenter
Dain Donelson
Douglas Diamond
Frank H. Easterbrook
Eccles Robert G.
Paul Edelman
Edward Kane
Efraim Benmelech
Charles M. Elson
Luca Enriques
Richard A. Epstein
Fabrizio Ferri
Ernst Fehr
Allen Ferrell
Jill E. Fisch
Florencio Lopez-de-Silanes
Francisco Perez-Gonzalez
Tamar Frankel
Franklin Allen
Jesse M. Fried
Stavros Gadinis
Brian Galle
Mira Ganor
Gary Gorton
Anna Gelpern
Martin Gelter
Geoffrey Tate
Gordon Phillips
Zohar Goshen
Gregor Matvos
Sean J. Griffith
Joseph A. Grundfest
Guhan Subramanian
Sarah C. Haan
Assaf Hamdani
Lawrence Hamermesh
Sharon Hannes
Henry B. Hansmann
A. Douglas Harris
Heitor Almeida
M. Todd Henderson
Henry T.C. Hu
Claire Hill
Jennifer Hill
Scott Hirst
Robert C. Hockett
Holger Mueller
Hyun Song Shin
Ed Iacobucci
Darian Ibrahim
Ivo Welch
Howell E. Jackson
Melissa B. Jacoby
James Naughton
James Poterba
Jay Ritter
Jeffrey Wurgler
Jeremy Stein
Wei Jiang
Johannes Stroebel
John Core
John Graham
John Y. Campbell
Jonathan Karpoff
Emma Coleman Jordan
Jordan Siegel
Josh Lerner
Joshua Rauh
Julian Franks
Marcel Kahan
Ehud Kamar
Kenneth Froot
Kevin Murphy
Vikramaditya S. Khanna
Hwa-Jin Kim
Sung Hui Kim
Michael Klausner
Jonathan Klick
Reinier H. Kraakman
Kimberly D. Krawiec
Donald C. Langevoort
Ross Levine
Adam J. Levitin
Amir N. Licht
Odette Lienau
Yair Listokin
Katherine Litvak
Lynn M. LoPucki
Luc Renneboog
Lucian Bebchuk
Luigi Zingales
Jonathan R. Macey
Jeffrey MacIntosh
Paul G. Mahoney
Malcolm Baker
Manju Puri
Jeffrey Manns
Marco Becht
Marianne Bertrand
Massimo Massa
Matthew Spiegel
Colin Mayer
Joseph McCahery
Michael Jensen
Michael Weisbach
Mihir Desai
Geoffrey Miller
Robert T. Miller
Milton Harris
Mitchell Petersen
Marc Moore
John D. Morley
Morten Sorensen
Nicholas Bloom
Nittai Bergman
Oliver Hart
Saule Omarova
Richard M. Painter
Paola Sapienza
James Park
Patrick Bolton
Paul Asquith
Paul Gompers
Peter DeMarzo
Peter Tufano
Philip Strahan
Philipp Schnabl
Alicia Plerhoples
Eric Posner
Richard A. Posner
Adam C. Pritchard
R. Glenn Hubbard
Rafael Porta
Raghuram Rajan
Mark Ramseyer
Randall Kroszner
Randall Morck
Raphael (Raffi) Amit
Raymond Fisman
René Stulz
Morgan Ricks
Robert McDonald
Robert Merton
Robert Vishny
Robert J. Shiller
Robin Greenwood
Edward B. Rock
Usha Rodrigues
Mark J. Roe
Roberta Romano
Ronald Masulis
S. Viswanathan
Hillary A. Sale
Samuel Hanson
Steven L. Schwarcz
Alan Schwartz
Sendhil Mullainathan
Elizabeth Sepper
Shai Bernstein
Sheridan Titman
Simon Johnson
Robert H. Sitkoff
David A. Skeel Jr.
Gordon Smith
Steven Davidoff Solomon
Holger Spamann
James C. Spindler
Richard Squire
Laura T. Starks
Steven Kaplan
Stewart Myers
Lynn Stout
Eric Talley
Daniel K. Tarullo
Tarun Khanna
Jennifer Taub
Randall Thomas
Thomas Hellmann
Thomas Philippon
Robert B. Thompson
Toni Whited
Andrew Tuch
Ulrike Malmendier
Marco Ventoruzzo
Erik Vermeulen
Jay Verret
Victoria Ivashina
Belen Villalonga
Viral Acharya
Andrew N. Vollmer
Michael L. Wachter
David Walker
Wayne Guay
David H. Webber
Jay L. Westbrook
Thomas R. White III
Charles K. Whitehead
Arthur E. Wilmarth
Xavier Gabaix
Yesha Yadav
Yael Hochberg
Roberto Tallarita
